127.0.0.1 - - [30/Apr/2016:14:20:17 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/Pagina_Inicial.jsp HTTP/1.1" 200 15803
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 23739
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/css/animate.min.css HTTP/1.1" 200 53593
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/css/creative.css HTTP/1.1" 200 9629
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/meus_efeitos/css/Meucss.css HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/js/jquery.js HTTP/1.1" 200 95785
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/js/jquery.easing.min.js HTTP/1.1" 200 5564
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/js/jquery.fittext.js HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/js/wow.min.js HTTP/1.1" 200 8182
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/js/creative.js HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/img/portfolio/2.2.jpg HTTP/1.1" 200 57955
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/img/portfolio/1.1.jpg HTTP/1.1" 200 39460
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/img/portfolio/3.3.jpg HTTP/1.1" 200 89734
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/img/portfolio/4.4.jpg HTTP/1.1" 200 333420
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/img/portfolio/5.5.jpg HTTP/1.1" 200 112459
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:40 -0300] "GET /ChegoLa/img/portfolio/6.6.png HTTP/1.1" 200 447496
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:41 -0300] "GET /ChegoLa/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 60767
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/Pagina_Inicial.jsp HTTP/1.1" 200 15803
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 23739
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/css/animate.min.css HTTP/1.1" 200 53593
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/css/creative.css HTTP/1.1" 200 9629
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/js/jquery.js HTTP/1.1" 200 95785
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/meus_efeitos/css/Meucss.css HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/js/jquery.fittext.js HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/js/wow.min.js HTTP/1.1" 200 8182
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/js/jquery.easing.min.js HTTP/1.1" 200 5564
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/js/creative.js HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/img/portfolio/5.5.jpg HTTP/1.1" 200 112459
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/img/portfolio/4.4.jpg HTTP/1.1" 200 333420
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/img/portfolio/1.1.jpg HTTP/1.1" 200 39460
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/img/portfolio/6.6.png HTTP/1.1" 200 447496
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/img/portfolio/2.2.jpg HTTP/1.1" 200 57955
0:0:0:0:0:0:0:1 - - [30/Apr/2016:14:20:50 -0300] "GET /ChegoLa/img/portfolio/3.3.jpg HTTP/1.1" 200 89734
